Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
,,1990,IR/TV & opto-electronic AA sights,Early Modern Sight With Laser Rangefinder,,AA Sight IV,AA_Optics_3,-4%,,,22.5%,,22.5%,,15%,,15%,,,,,,,,,,,,0.3,,,20%,6.5,,0.75,,,,1,,,,
,,2000,Modern IR/TV & opto-electronic AA sights,Oopsie,,AA Sight V,AA_Optics_4,-4%,,,25%,,25%,,17.5%,,17.5%,,,,,,,,,,,,0.35,,,25%,7.5,,0.85,,,,1,,,,
,,2010,Advanced modern IR/TV & opto-electronic AA sights,Advanced Sight With Laser Rangefinder,,AA Sight VI,AA_Optics_5,-4%,,,27.5%,,27.5%,,20%,,20%,,,,,,,,,,,,0.4,,,30%,8.5,,0.95,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Computing [DONE],1955,Mechanical Ballistic Computer,Mechanical Ballistic Computer,,Ballistic Computer I,Computer_0,-5%,,,5%,,5%,,5%,,5%,,,,,,,,,,,-5%,0.15,,,,3,,0.1,,,,,,,,
,,1965,Analog-Digital Ballistic Computer,Analog-Digital Ballistic Computer,,Ballistic Computer II,Computer_1,-2.5%,,,10%,,10%,,10%,,10%,,,,,,,,,,,-7.5%,0.25,,,,3.75,,0.15,,,,1,,,,
,,1975,Digital Ballistic Computer,Digital Ballistic Computer,,Ballistic Computer III,Computer_2,-1%,,,15%,,15%,,15%,,15%,,,,,,,,,,,-10%,0.35,,,,4.5,,0.2,,,,2,,,,
,,1985,Advanced Digital Ballistic Computer,Advanced Digital Ballistic Computer,,Ballistic Computer IV,Computer_3,-1%,,,20%,,20%,,20%,,20%,,,,,,,,10%,,,-12.5%,0.45,,,,5.25,,0.25,,,,2,,,,
,,1995,Early Modern Digital Ballistic Computer,Early Modern Digital Ballistic Computer,,Ballistic Computer V,Computer_4,-1%,,,25%,,25%,,25%,,25%,,,,,,,,15%,,,-15%,0.55,,,,6,,0.3,,,,2,,,,
,,2005,Modern Digital Ballistic Computer,Modern Digital Ballistic Computer,,Ballistic Computer VI,Computer_5,-1%,,,30%,,30%,,30%,,30%,,,,,,,,20%,,,-17.5%,0.65,,,,6.75,,0.35,,,,2,,,,
,,2015,Advanced Modern Digital Ballistic Computer,Advanced Modern Digital Ballistic Computer,,Ballistic Computer VII,Computer_6,-1%,,,35%,,35%,,35%,,35%,,,,,,,,25%,,,-20%,0.75,,,,7.5,,0.4,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Computing Artillery [DONE],1985,Artillery Ballistic Computer,Advanced Digital Ballistic Computer,,Artillery Ballistic Computer I,Computer_arty_0,-1%,,,25%,,25%,,25%,,25%,,,,,,,,,,,-17.5%,0.45,,,,5.25,,0.25,,,,2,,,,
,,1995,Early Modern Artillery Ballistic Computer,Early Modern Digital Ballistic Computer,,Artillery Ballistic Computer II,Computer_arty_1,-1%,,,30%,,30%,,30%,,30%,,,,,,,,,,,-20%,0.55,,,,6,,0.3,,,,2,,,,
,,2005,Modern Artillery Ballistic Computer,Modern Digital Ballistic Computer,,Artillery Ballistic Computer III,Computer_arty_2,-1%,,,35%,,35%,,35%,,35%,,,,,,,,,,,-22.5%,0.65,,,,6.75,,0.35,,,,2,,,,
,,2015,Advanced Modern Artillery Ballistic Computer,Advanced Modern Digital Ballistic Computer,,Artillery Ballistic Computer IV,Computer_arty_3,-1%,,,40%,,40%,,40%,,40%,,,,,,,,,,,-25%,0.75,,,,7.5,,0.4,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Computing SPAAG [DONE],1960,Early Cold War Radar,Radar 1960,,Radar I,Radar_0,-5%,,,,,,,,,,,,,,,,,,,,-5%,1,????? ?? ???????? ??????? ? ??????,,20%,4,,0.1,,,,1,,,,
,,1970,Mid-Cold War Radar,Radar 1970,,Radar II,Radar_1,-5%,,,,,,,,,,,,,,,,,,,,-7.5%,1.2,,,25%,4.75,,0.15,,,,1,,,,
,,1980,Late Cold War Radar,Radar 1980,,Radar III,Radar_2,-5%,,,,,,,,,,,,,,,,,,,,-10%,1.4,,,30%,5.5,,0.2,,,,1,,,,
,,1990,Early Modern Radar,Radar 1990,,Radar IV,Radar_3,-5%,,,,,,,,,,,,,,,,,,,,-12.5%,1.6,,,35%,6.25,,0.25,,,,2,,,,
,,2000,Modern Radar,Radar 2000,,Radar V,Radar_4,-5%,,,,,,,,,,,,,,,,,,,,-15%,1.8,,,40%,7,,0.3,,,,2,,,,
,,2010,Improved Modern Radar,Radar 2010,,Radar VI,Radar_5,-5%,,,,,,,,,,,,,,,,,,,,-17.5%,2,,,45%,7.75,,0.35,,,,2,,,,
,,2020,Advanced Modern Radar,Radar 2020,,Radar VII,Radar_6,-5%,,,,,,,,,,,,,,,,,,,,-20%,2.2,,,50%,8.5,,0.4,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
Engines & suspension,Diesel Engines [DONE],1939,World War II diesel engine,WWII Combustion Engines,,Combustion Engines I,Diesel_0,10%,,,,,,,,,,,,,,,,,,,,,2,,,,2,,0.2,,1,,,,,,
,,1950,Post-war diesel engine,Post-WWII Combustion Engines,,Combustion Engines II,Diesel_1,12.5%,,,,,,,,,,,,,,,2%,,,,,,1.9,-2%,,,2.3,,0.25,,1,,,,,,
,,1960,Early Cold War diesel engine,Early Cold War Combustion Engines,,Combustion Engines III,Diesel_2,15%,,,,,,,,,,,,,,,4%,,,,,,1.8,-4%,,,2.6,,0.3,,1,,,,,,
,,1970,Mid-Cold War diesel engine,Mid-Cold War Combustion Engines,,Combustion Engines IV,Diesel_3,17.5%,,,,,,,,,,,,,,,6%,,,,,,1.7,-6%,,,2.9,,0.35,,1,,,,,,
,,1980,Late Cold War diesel engine,Late Cold War Combustion Engines,,Combustion Engines V,Diesel_4,20%,,,,,,,,,,,,,,,8%,,,,,,1.6,-8%,,,3.2,,0.4,,2,,,,,,
,,2000,Modern diesel engine,Modern Combustion Engines,,Combustion Engines VI,Diesel_5,22.5%,,,,,,,,,,,,,,,10%,,,,,,1.5,-10%,,,3.5,,0.45,,2,1,,,,,
,,2020,Hybrid diesel-electric propulsion,Hybrid Diesel-Electric Propulsion,,Combustion Engines VII,Diesel_6,25%,,,,,,6,10%,6,10%,,,,,1,12%,,,,,,1.4,-12%,,,3.8,5%,0.8,,2,3,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petrol Engines [DONE],1939,World War II petrol engine,WWII Combustion Engines,,Combustion Engines I,Petrol_0,,,,,,,,,,,,,,,1,5%,,,,,,2.4,,,,1,,0.2,,,,,,,,
,,1950,Post-war petrol engine,Post-WWII Combustion Engines,,Combustion Engines II,Petrol_1,2.5%,,,,,,,,,,,,,,1,7%,,,,,,2.3,-2%,,,1.3,,0.25,,,,,,,,
,,1960,Early Cold War petrol engine,Early Cold War Combustion Engines,,Combustion Engines III,Petrol_2,5%,,,,,,,,,,,,,,1,9%,,,,,,2.2,-4%,,,1.6,,0.3,,,,,,,,
,,1970,Mid-Cold War petrol engine,Mid-Cold War Combustion Engines,,Combustion Engines IV,Petrol_3,7.5%,,,,,,,,,,,,,,1,11%,,,,,,2.1,-6%,,,1.9,,0.35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Turbine Engines [DONE],1960,Early Cold War gas turbine engine,Early Cold War Gas Turbine Engines,,Gas Turbine Engines I,GT_0,-5%,,,,,,3,,3,,,,,,2,20%,,,,,,3.5,,,,7,,0.3,,2,1,,,,,
,,1970,Mid-Cold War gas turbine engine,Mid-Cold War Gas Turbine Engines,,Gas Turbine Engines II,GT_1,2.5%,,,,,,3.5,,3.5,,,,,,2,22%,,,,,,3.4,-4%,,,7.3,,0.35,,2,1,,,,,
,,1980,Late Cold War gas turbine engine,Late Cold War Gas Turbine Engines,,Gas Turbine Engines III,GT_2,10%,,,,,,4,,4,,,,,,2,24%,,,,,,3.3,-8%,,,7.6,,0.4,,2,1,,,,,
,,2000,Modern gas turbine engine,Modern Gas Turbine Engines,,Gas Turbine Engines IV,GT_3,17.5%,,,,,,4.5,,4.5,,,,,,2,26%,,,,,,3.2,-12%,,,7.9,,0.45,,2,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APU [DONE],1939,World War II auxiliary power unit,WWII Combustion Engines,,Combustion Engines I,APU_0,1%,,,,,,,,,,,,,,,,,,,,,,-5%,,,0.25,,0.1,,,,,,,,
,,1950,Post-war auxiliary power unit,Post-WWII Combustion Engines,,Combustion Engines II,APU_1,1.5%,,,,,,,,,,,,,,,,,,,,,,-7.5%,,,0.5,,0.15,,,,,,,,
,,1960,Early Cold War auxiliary power unit,Early Cold War Combustion Engines,,Combustion Engines III,APU_2,2%,,,,,,,,,,,,,,,,,,,,,,-10%,,,0.75,,0.2,,,,,,,,
,,1970,Mid-Cold War auxiliary power unit,Mid-Cold War Combustion Engines,,Combustion Engines IV,APU_3,2.5%,,,,,,,,,,,,,,,,,,,,,,-12.5%,,,1,,0.25,,,,,,,,
,,1980,Late Cold War auxiliary power unit,Late Cold War Combustion Engines,,Combustion Engines V,APU_4,3%,,,,,,1,,2,,,,,,,,,,,,,,-15%,,,1.25,,0.3,,,,,,,,
,,2000,Modern auxiliary power unit,Modern Combustion Engines,,Combustion Engines VI,APU_5,3.5%,,,,,,2,,3,,,,,,,,,,,,,,-17.5%,,,1.5,,0.35,,,,,,,,
,,2020,Fuel cell auxiliary power unit,Hybrid Diesel-Electric Propulsion,,Combustion Engines VII,APU_6,6%,,,,,,4,,4,,,,,,,,,,,,,,-30%,,,4,,0.4,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Turbine APU [DONE],1960,Early Cold War gas turbine auxiliary power unit,Early Cold War Gas Turbine Engines,,Gas Turbine Engines I,GT_APU_0,3%,,,,,,,,,,,,,,,,,,,,,,-20%,,,1.5,,0.2,,,,,,,,
,,1970,Mid-Cold War gas turbine auxiliary power unit,Mid-Cold War Gas Turbine Engines,,Gas Turbine Engines II,GT_APU_1,3.5%,,,,,,,,,,,,,,,,,,,,,,-22.5%,,,2,,0.25,,,,,,,,
,,1980,Late Cold War gas turbine auxiliary power unit,Late Cold War Gas Turbine Engines,,Gas Turbine Engines III,GT_APU_2,4%,,,,,,2,,1,,,,,,,,,,,,,,-25.0%,,,2.5,,0.3,,,,,,,,
,,2000,Modern gas turbine auxiliary power unit,Modern Gas Turbine Engines,,Gas Turbine Engines IV,GT_APU_3,4.5%,,,,,,3,,2,,,,,,,,,,,,,,-27.5%,,,3,,0.35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic Suspension [DONE],1939,4-wheel suspension,Base,,Base,Wheel_4,,-30%,,,,,,,,,,,,,,-5%,,,,,,,10%,,,-0.5,-10%,0.1,,,,,,,,
,,1939,6-wheel suspension,Base,,Base,Wheel_6,,-20%,,,,,0.5,,0.5,,,,,,,5%,,,,,,,5%,,,,,0.15,,,,,,,,
,,1939,8-wheel suspension,Base,,Base,Wheel_8,,-10%,,,,,1,,1,,,,,,,15%,,,,,,,,,,0.5,,0.2,,,,,,,,
,,1939,Half-track suspension,Base,,Base,Half_track,-10%,-20%,,,,,1,,,,,,,,,-5%,,,,,,,5%,,,0.6,,0.2,,,,,,,,
,,1939,Bogie suspension,Base,,Base,Bogie_0,,,,,,,1,,2,,,,,,,-15%,,,,,,,7.5%,,,0.7,,0.2,,1,,,,,,
,,1939,Independent internal suspension,Base,,Base,Independent_internal_0,-7.5%,,,,,,3,,1,,,,,,,10%,,,,,,,,,,1,,1,,1,,,,,,
,,1939,Independent external suspension,Base,,Base,Independent_external_0,5%,,,,,,2,,3,,,,,,,-7.5%,,,,,,,5%,,,1,,0.2,,1,,,,,,
,,1939,Torsion bar suspension,Base,,Base,Torsion_0,10%,,,,,,3,,3,,,,,,,,,,,,,,,,,1.5,,0.5,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Advanced Suspension [DONE],1942,Bogie Suspension With Shock Absorbers,Modernized Suspension,,Modernized Suspension,Bogie_1,2.5%,,,,,,1.5,,2.5,,,,,,,-12.5%,,,,,,,7.5%,,,1,,0.3,,1,,,,,,
,,1942,Independent Internal Suspension With Shock Absorbers,Modernized Suspension,,Modernized Suspension,Independent_internal_1,-5%,,,,,,3.5,,1.5,,,,,,,12.5%,,,,,,,,,,1.3,,1.1,,1,,,,,,
,,1942,Independent External Suspension With Shock Absorbers,Modernized Suspension,,Modernized Suspension,Independent_external_1,7.5%,,,,,,2.5,,3.5,,,,,,,-5%,,,,,,,5%,,,1.3,,0.3,,1,,,,,,
,,1942,Torsion Bar Suspension With Shock Absorbers,Modernized Suspension,,Modernized Suspension,Torsion_1,12.5%,,,,,,3.5,,3.5,,,,,,,2.5%,,,,,,,,,,1.8,,0.6,,1,,,,,,
,,1942,Hydro-Pneumatic Suspension,Modernized Suspension,,Modernized Suspension,Hydro_pneumatic_0,7.5%,,,,,,5,,5,,,,,,,5%,,,,,,,,,5%,3.5,,0.5,,1,1,,,,,
,,1960,Variable Hydro-Pneumatic Suspension,Tracked Hydro-Pneumatic Suspension,,Tracked Hydro-Pneumatic Suspension,Hydro_pneumatic_1,7.5%,,,,,,7,5%,7,5%,,,,,,5%,,,,,,0.2,,,7.5%,4.5,,0.7,,1,1,,,,,
,,2010,Active Suspension,Tracked Active Suspension,,Tracked Active Suspension,Hydro_pneumatic_2,7.5%,,,,,,9,7.5%,9,7.5%,,,,,,15%,,,,,,0.4,-5%,,10%,6.5,,0.9,,1,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
Tank Guns,Light Tank Guns,1939,Early WWII Light Gun,Early WWII Light Gun,,Light Gun I,tank_light_cannon0,-5%,,,-55%,,-55%,,,,,,,,-80%,-0.2,,,,,,,,,,,1.5,,0.2,,1,,,,,,
,,1942,Mid-WWII Light Gun,Mid-WWII Light Gun,,Light Gun II,tank_light_cannon1,-10%,,,-45%,,-45%,,,,,,,,-60%,-0.3,,,,,,,,,,,1.8,,0.2,,1,,,,,,
,,1944,Late WWII Light Gun,Late WWII Light Gun,,Light Gun III,tank_light_cannon2,-15%,,,-35%,,-35%,,,,,,,,-40%,-0.3,,,,,,,,,,,2.1,,0.2,,1,,,,,,
,,1950,Post-WWII Light Gun,Post-WWII Light Gun,,Light Gun IV,tank_light_cannon3,-15%,,,-25%,,-25%,,,,,,,,-20%,-0.3,,,,,,,,,,,2.4,,0.2,,1,,,,,,
,,1960,Early Cold War Light Gun,Early Cold War Light Gun,,Light Gun V,tank_light_cannon4,-20%,,,-20%,,-20%,,,,,,,,-18.5%,-0.4,,,,,,,,,,,2.7,,0.2,,2,,,,,,
,,1970,Mid-Cold War Light Gun,Mid-Cold War Light Gun,,Light Gun VI,tank_light_cannon5,-20%,,,-15%,,-15%,,,,,,,,-17%,-0.4,,,,,,,,,,,3,,0.2,,2,,,,,,
,,1980,Late Cold War Light Gun,Late Cold War Light Gun,,Light Gun VII,tank_light_cannon6,-20%,,,-10%,,-10%,,,,,,,,-15.5%,-0.4,,,,,,,,,,,3.3,,0.2,,2,,,,,,
,,1990,Early Modern Light Gun,Early Modern Light Gun,,Light Gun VIII,tank_light_cannon7,-20%,,,-5%,,-5%,,,,,,,,-14%,-0.5,,,,,,,,,,,3.6,,0.2,,2,,,,,,
,,2005,Modern Light Gun,Modern Light Gun,,Light Gun IX,tank_light_cannon8,-20%,,,0%,,0%,,,,,,,,-12.5%,-0.5,,,,,,,,,,,3.9,,0.2,,2,,,,,,
,,2015,Advanced Modern Light Gun,Advanced Modern Light Gun,,Light Gun X,tank_light_cannon9,-20%,,,5%,,5%,,,,,,,,-11%,-0.5,,,,,,,,,,,4.2,,0.2,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medium Tank Guns,1939,Early WWII Medium Gun,Early WWII Medium Gun,,Medium Gun I,tank_medium_cannon0,-15%,,,-30%,,-30%,,,,,,,,-55%,-0.4,,,,,,,,,,,3,,0.3,,2,,,,,,
,,1942,Mid-WWII Medium Gun,Mid-WWII Medium Gun,,Medium Gun II,tank_medium_cannon1,-20%,,,-20%,,-20%,,,,,,,,-30%,-0.5,,,,,,,,,,,3.4,,0.3,,2,,,,,,
,,1944,Late WWII Medium Gun,Late WWII Medium Gun,,Medium Gun III,tank_medium_cannon2,-25%,,,-10%,,-10%,,,,,,,,-15%,-0.5,,,,,,,,,,,3.8,,0.3,,2,,,,,,
,,1950,Post-WWII Medium Gun,Post-WWII Medium Gun,,Medium Gun IV,tank_medium_cannon3,-25%,,,0,,0,,,,,,,,0,-0.5,,,,,,,,,,,4.2,,0.3,,2,,,,,,
,,1960,Early Cold War MBT Smoothbore Gun,Early Cold War MBT Gun,,MBT Smoothbore Gun I,tank_smooth_mbt_cannon1,-30%,,,2.5%,,2.5%,,,,,,,,12.5%,-0.6,,,,,,,,,,,4.6,,0.3,,3,,,,,,
,,1970,Mid-Cold War MBT Smoothbore Gun,Mid-Cold War MBT Gun,,MBT Smoothbore Gun II,tank_smooth_mbt_cannon2,-30%,,,7.5%,,7.5%,,,,,,,,15%,-0.6,,,,,,,,,,,5,,0.3,,3,,,,,,
,,1980,Late Cold War MBT Smoothbore Gun,Late Cold War MBT Gun,,MBT Smoothbore Gun III,tank_smooth_mbt_cannon3,-30%,,,12.5%,,12.5%,,,,,,,,17.5%,-0.6,,,,,,,,,,,5.4,,0.3,,3,,,,,,
,,1990,Early Modern MBT Smoothbore Gun,Early Modern MBT Gun,,MBT Smoothbore Gun IV,tank_smooth_mbt_cannon4,-30%,,,17.5%,,17.5%,,,,,,,,20%,-0.7,,,,,,,,,,,5.8,,0.3,,3,,,,,,
,,2005,Modern MBT Smoothbore Gun,Modern MBT Gun,,MBT Smoothbore Gun V,tank_smooth_mbt_cannon5,-30%,,,22.5%,,22.5%,,,,,,,,22.5%,-0.7,,,,,,,,,,,6.2,,0.3,,3,,,,,,
,,2015,Advanced Modern MBT Smoothbore Gun,Advanced Modern MBT Gun,,MBT Smoothbore Gun VI,tank_smooth_mbt_cannon6,-30%,,,27.5%,,27.5%,,,,,,,,25%,-0.7,,,,,,,,,,,6.6,,0.3,,3,,,,,,
,,1960,Early Cold War MBT Rifled Gun,Early Cold War MBT Gun,,MBT Rifled Gun I,tank_rifled_mbt_cannon1,-30%,,,7.5%,,7.5%,,,,,,,,2.5%,-0.6,,,,,,,,,,,5,,0.3,,3,,,,,,
,,1970,Mid-Cold War MBT Rifled Gun,Mid-Cold War MBT Gun,,MBT Rifled Gun II,tank_rifled_mbt_cannon2,-30%,,,12.5%,,12.5%,,,,,,,,5%,-0.6,,,,,,,,,,,5.4,,0.3,,3,,,,,,
,,1980,Late Cold War MBT Rifled Gun,Late Cold War MBT Gun,,MBT Rifled Gun III,tank_rifled_mbt_cannon3,-30%,,,17.5%,,17.5%,,,,,,,,7.5%,-0.6,,,,,,,,,,,5.8,,0.3,,3,,,,,,
,,1990,Early Modern MBT Rifled Gun,Early Modern MBT Gun,,MBT Rifled Gun IV,tank_rifled_mbt_cannon4,-30%,,,22.5%,,22.5%,,,,,,,,10%,-0.7,,,,,,,,,,,6.2,,0.3,,3,,,,,,
,,2005,Modern MBT Rifled Gun,Modern MBT Gun,,MBT Rifled Gun V,tank_rifled_mbt_cannon5,-30%,,,27.5%,,27.5%,,,,,,,,12.5%,-0.7,,,,,,,,,,,6.6,,0.3,,3,,,,,,
,,2015,Advanced Modern MBT Rifled Gun,Advanced Modern MBT Gun,,MBT Rifled Gun VI,tank_rifled_mbt_cannon6,-30%,,,32.5%,,32.5%,,,,,,,,15%,-0.7,,,,,,,,,,,7,,0.3,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heavy Tank Guns,1942,Mid-WWII Heavy Gun,Mid-WWII Heavy Gun,,Heavy Gun I,tank_heavy_cannon0,-30%,,,0,,0,,,,,,,,-5%,-0.6,,,,,,,,,,,6,,0.4,,3,,,,,,
,,1944,Late WWII Heavy Gun,Late WWII Heavy Gun,,Heavy Gun II,tank_heavy_cannon1,-30%,,,5%,,5%,,,,,,,,0,-0.6,,,,,,,,,,,6.5,,0.4,,3,,,,,,
,,1950,Post-WWII Heavy Gun,Post-WWII Heavy Gun,,Heavy Gun III,tank_heavy_cannon2,-30%,,,10%,,10%,,,,,,,,15%,-0.7,,,,,,,,,,,7,,0.4,,3,,,,,,
,,1955,Early Cold War Heavy Gun,Early Cold War Heavy Gun,,Heavy Gun IV,tank_heavy_cannon3,-35%,,,15%,,15%,,,,,,,,20%,-0.7,,,,,,,,,,,7.5,,0.4,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Super Heavy Gun,1955,Early Cold War Super Heavy Gun,Early Cold War Super Heavy Gun,,Super-Heavy Gun I,tank_super_heavy_cannon,-40%,,,25%,,25%,,,,,,,,35%,-1.2,,,,,,,,,,,8,,0.5,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gun-ATGM Launcher,1960,Gun-ATGM Launcher,Gun-ATGM Launcher,,Gun-ATGM Launcher,tank_atgm_launcher_cannon,-30%,,,12.5%,,12.5%,,,,,,,,20%,-0.6,,,,,,,,,,,5.2,,0.3,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heavy MBT Guns,1990,Early Heavy MBT Gun,Early Heavy MBT Gun,,Heavy MBT Gun I,tank_mbt_heavy_cannon0,-40%,,,25%,,25%,,,,,,,,40%,-0.8,,,,,,,,,,,7.5,,0.3,,4,,,,,,
,,2000,Modernized Heavy MBT Gun,Modernized Heavy MBT Gun,,Heavy MBT Gun II,tank_mbt_heavy_cannon1,-35%,,,30%,,30%,,,,,,,,45%,-0.8,,,,,,,,,,,8.1,,0.3,,4,,,,,,
,,2010,Advanced Heavy MBT Gun,Advanced Heavy MBT Gun,,Heavy MBT Gun III,tank_mbt_heavy_cannon2,-35%,,,35%,,35%,,,,,,,,50%,-0.8,,,,,,,,,,,8.7,,0.3,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low-Pressure Guns,1950,Post-WWII Low-Pressure Gun,Post-WWII Low-Pressure Gun,,Low-Pressure Gun I,tank_low_p_cannon0,-10%,,,-35%,,-35%,,,,,,,,-20%,-0.2,,,,,,,,,,,2,,0.2,,1,,,,,,
,,1960,Early Cold War Low-Pressure Gun,Early Cold War Low-Pressure Gun,,Low-Pressure Gun II,tank_low_p_cannon1,-10%,,,-30%,,-30%,,,,,,,,-18.5%,-0.2,,,,,,,,,,,2.3,,0.2,,1,,,,,,
,,1970,Mid-Cold War Low-Pressure Gun,Mid-Cold War Low-Pressure Gun,,Low-Pressure Gun III,tank_low_p_cannon2,-10%,,,-25%,,-25%,,,,,,,,-17%,-0.2,,,,,,,,,,,2.6,,0.2,,1,,,,,,
,,1990,Early Modern Low-Pressure Gun,Early Modern Low-Pressure Gun,,Low-Pressure Gun IV,tank_low_p_cannon3,-10%,,,-20%,,-20%,,,,,,,,-14%,-0.3,,,,,,,,,,,2.9,,0.2,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
Primary Tank Ammo,Armor Piercing,1939,AP Ammunition,AP Ammunition,,AP Ammo I,ap_0p,,,20,,,,,,,,,,150,,,,,,,,,,,,,0.25,,0.05,,,,,,,,
,,1942,APCR Ammunition,APCR Ammunition,,AP Ammo II,ap_1p,,,30,,,,,,,,,,200,,,,,,,,,,,,,0.5,,0.05,,,,,,,,
,,1950,APDS Ammunition,APDS Ammunition,,AP Ammo III,ap_2p,,,40,,,,,,,,,,250,,,,,,,,,,,,,0.75,,0.05,,,,,,,,
,,1960,APFSDS Ammunition,APFSDS Ammunition,,AP Ammo IV,ap_3p,,,50,,,,,,,,,,300,,,,,,,,,,,,,1,,0.05,,,,,,,,
,,1970,Elongated APFSDS Ammunition,Elongated APFSDS Ammunition,,AP Ammo V,ap_4p,,,60,,,,,,,,,,375,,,,,,,,,,,,,1.25,,0.05,,,,,,,,
,,1980,Advanced APFSDS Ammunition,Advanced APFSDS Ammunition,,AP Ammo VI,ap_5p,,,70,,,,,,,,,,450,,,,,,,,,,,,,1.5,,0.05,,,,,,,,
